comment,likes,cleaned,case_folded,tokenized,stopword_removed,stemmed,final_text,komentar_bersih,label
"saya yakin podcast ini akan menuntun kaum muda dan mudi untuk mencapai indonesia emas 2045 <a href=""http://www.youtube.com/results?search_query=%23salamorangwaras"">#salamorangwaras</a>.",5823,saya yakin podcast ini akan menuntun kaum muda dan mudi untuk mencapai indonesia emas,saya yakin podcast ini akan menuntun kaum muda dan mudi untuk mencapai indonesia emas,"['saya', 'yakin', 'podcast', 'ini', 'akan', 'menuntun', 'kaum', 'muda', 'dan', 'mudi', 'untuk', 'mencapai', 'indonesia', 'emas']","['podcast', 'menuntun', 'kaum', 'muda', 'mudi', 'mencapai', 'indonesia', 'emas']","['podcast', 'tuntun', 'kaum', 'muda', 'mud', 'capai', 'indonesia', 'emas']",podcast tuntun kaum muda mud capai indonesia emas,podcast tuntun kaum muda mud capai indonesia emas,Netral
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1934"">32:14</a> gak enak.",0,gak enak,gak enak,"['gak', 'enak']","['gak', 'enak']","['gak', 'enak']",gak enak,gak enak,Negatif
kangen bentukan editan sonia yg gini jir akwawok absurd gemes,0,kangen bentukan editan sonia yang gini jir akwawok absurd gemes,kangen bentukan editan sonia yang gini jir akwawok absurd gemes,"['kangen', 'bentukan', 'editan', 'sonia', 'yang', 'gini', 'jir', 'akwawok', 'absurd', 'gemes']","['kangen', 'bentukan', 'editan', 'sonia', 'gini', 'jir', 'akwawok', 'absurd', 'gemes']","['kangen', 'bentuk', 'edit', 'sonia', 'gin', 'jir', 'akwawok', 'absurd', 'gemes']",kangen bentuk edit sonia gin jir akwawok absurd gemes,kangen bentuk edit sonia gin jir akwawok absurd gemes,Positif
gue udh rewatch ini 4x msh lucu aja jirrrr,0,gue sudah rewatch ini 4x masih lucu aja jirrrr,gue sudah rewatch ini 4x masih lucu aja jirrrr,"['gue', 'sudah', 'rewatch', 'ini', '4x', 'masih', 'lucu', 'aja', 'jirrrr']","['gue', 'rewatch', '4x', 'lucu', 'aja', 'jirrrr']","['gue', 'rewatch', '4x', 'lucu', 'aja', 'jirrrr']",gue rewatch 4x lucu aja jirrrr,gue rewatch 4x lucu aja jirrrr,Positif
endingnya gonggg😭,0,endingnya gonggg,endingnya gonggg,"['endingnya', 'gonggg']","['endingnya', 'gonggg']","['endingnya', 'gonggg']",endingnya gonggg,endingnya gonggg,Positif
"Ngakak pas pertanyaan <a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=677"">11:17</a> 😂😂😂",0,Ngakak pas pertanyaan,ngakak pas pertanyaan,"['ngakak', 'pas', 'pertanyaan']","['ngakak', 'pas']","['ngakak', 'pas']",ngakak pas,ngakak pas,Positif
UNDANG MAXWELL SALVADOR PLIISS,0,UNDANG MAXWELL SALVADOR PLIISS,undang maxwell salvador pliiss,"['undang', 'maxwell', 'salvador', 'pliiss']","['undang', 'maxwell', 'salvador', 'pliiss']","['undang', 'maxwell', 'salvador', 'pliiss']",undang maxwell salvador pliiss,undang maxwell salvador pliiss,Positif
Mukanya niki agak mirip sandy,0,Mukanya niki agak mirip sandy,mukanya niki agak mirip sandy,"['mukanya', 'niki', 'agak', 'mirip', 'sandy']","['mukanya', 'niki', 'sandy']","['muka', 'nik', 'sandy']",muka nik sandy,muka nik sandy,Netral
random banget plis,0,random banget plis,random banget plis,"['random', 'banget', 'plis']","['random', 'banget', 'plis']","['random', 'banget', 'plis']",random banget plis,random banget plis,Negatif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1193"">19:53</a> IQ gw ikut turun",0,IQ saya ikut turun,iq saya ikut turun,"['iq', 'saya', 'ikut', 'turun']","['iq', 'turun']","['iq', 'turun']",iq turun,iq turun,Negatif
